school,ncaa_conf,comments
Florida St.,ACC,
Virginia Tech,ACC,
Clemson,ACC,
Miami (FL),ACC,
Pittsburgh,ACC,
Georgia Tech,ACC,
Louisville,ACC,
North Carolina,ACC,
Boston Col.,ACC,
North Carolina St.,ACC,
Duke,ACC,
Virginia,ACC,
Syracuse,ACC,
Wake Forest,ACC,
Central Florida,American,
Cincinnati,American,
Houston,American,
Memphis,American,
Navy,American,
Tulsa,American,
Temple,American,
SMU,American,
South Florida,American,
Tulane,American,
East Carolina,American,
Oklahoma,Big 12,
Texas,Big 12,
Kansas St.,Big 12,
Oklahoma St.,Big 12,
TCU,Big 12,
Texas Tech,Big 12,
West Virginia,Big 12,
Iowa St.,Big 12,
Baylor,Big 12,
Kansas,Big 12,
Ohio St.,Big Ten,
Michigan,Big Ten,
Penn St.,Big Ten,
Michigan St.,Big Ten,
Wisconsin,Big Ten,
Minnesota,Big Ten,
Iowa,Big Ten,
Illinois,Big Ten,
Nebraska,Big Ten,
Purdue,Big Ten,
Northwestern,Big Ten,
Indiana,Big Ten,
Maryland,Big Ten,
Rutgers,Big Ten,
Western Kentucky,C-USA,
Southern Miss,C-USA,
Marshall,C-USA,
Louisiana Tech,C-USA,
Florida Atlantic,C-USA,
Middle Tenn. St.,C-USA,
Ala-Birmingham,C-USA,
Texas-San Antonio,C-USA,
North Texas,C-USA,
Rice,C-USA,
Old Dominion,C-USA,
Texas-El Paso,C-USA,
Florida International,C-USA,
Charlotte,C-USA,
Notre Dame,Independent,
BYU,Independent,
Army,Independent,
Liberty,Independent,
New Mexico St.,Independent,
Massachusetts,Independent,
Connecticut,Independent,
Miami (OH),MAC,
Toledo,MAC,
Bowling Green,MAC,
Northern Illinois,MAC,
Western Michigan,MAC,
Central Michigan,MAC,
Ball St.,MAC,
Ohio,MAC,
Buffalo,MAC,
Akron,MAC,
Kent St.,MAC,
East. Michigan,MAC,
Boise St.,Mountain West,
Air Force,Mountain West,
Utah St.,Mountain West,
Fresno St.,Mountain West,
San Diego St.,Mountain West,
Colorado St.,Mountain West,
Nevada,Mountain West,
Wyoming,Mountain West,
New Mexico,Mountain West,
San Jose St.,Mountain West,
Hawaii,Mountain West,
UNLV,Mountain West,
USC,Pac-12,
UCLA,Pac-12,
Washington,Pac-12,
Utah,Pac-12,
Arizona St.,Pac-12,
Stanford,Pac-12,
California,Pac-12,
Oregon,Pac-12,
Arizona,Pac-12,
Washington St.,Pac-12,
Oregon St.,Pac-12,
Colorado,Pac-12,
Alabama,SEC,
LSU,SEC,
Tennessee,SEC,
Texas A&M,SEC,
Georgia,SEC,
Florida,SEC,
Auburn,SEC,
Mississippi,SEC,
Missouri,SEC,
Arkansas,SEC,
South Carolina,SEC,
Mississippi St.,SEC,
Kentucky,SEC,
Vanderbilt,SEC,
Appalachian St.,Sun Belt,
Georgia Southern,Sun Belt,
Troy,Sun Belt,
Coastal Carolina,Sun Belt,
Louisiana,Sun Belt,
Arkansas St.,Sun Belt,
South Alabama,Sun Belt,
Georgia St.,Sun Belt,
La-Monroe,Sun Belt,
Texas St.,Sun Belt,
Alabama St.,FCS,
Albany (NY),FCS,
Ark-Pine Bluff,FCS,
Brown,FCS,
Bucknell,FCS,
Canisius,FCS,"no football team, would be FCS though"
Central Arkansas,FCS,
Chattanooga,FCS,
Cornell,FCS,
Dayton,FCS,
Delaware,FCS,
Drake,FCS,
East. Kentucky,FCS,
East. Washington,FCS,
Eastern Illinois,FCS,
Elon,FCS,
Fordham,FCS,
Grambling St.,FCS,
Harvard,FCS,
Holy Cross,FCS,
Houston Baptist,FCS,
Idaho,FCS,
Illinois St.,FCS,
Indiana St.,FCS,
James Madison,FCS,
Maine,FCS,
Marist,FCS,
McNeese St.,FCS,
Monmouth,FCS,
Montana St.,FCS,
Murray St.,FCS,
Norfolk St.,FCS,
North Carolina A&T,FCS,
North Carolina Central,FCS,
North Dakota St.,FCS,
Northern Colorado,FCS,
Northern Iowa,FCS,
Pennsylvania,FCS,
Prairie View A&M,FCS,
Princeton,FCS,
Rhode Island,FCS,
S.F. Austin,FCS,
Sacramento St.,FCS,
Sam Houston St.,FCS,FBS (C-USA) as of 2022
Samford,FCS,
San Diego,FCS,
SE Missouri St.,FCS,
South Carolina St.,FCS,
South Dakota,FCS,
South Dakota St.,FCS,
Southeastern Louisiana,FCS,
Southern,FCS,
Southern Illinois,FCS,
Stetson,FCS,
Stony Brook,FCS,
Tarleton St.,FCS,
Tennessee St.,FCS,
UC Irvine,FCS,"no football team, would be FCS though"
Villanova,FCS,
Virginia Commonwealth,FCS,
Weber St.,FCS,
Western Illinois,FCS,
William & Mary,FCS,
Wisconsin–Milwaukee,FCS,"no Horizon League football, would likely be FCS though"
Yale,FCS,
Youngstown St.,FCS,
Albany State (GA),D2,
Ashland,D2,
Assumption,D2,
Augustana (SD),D2,
Bloomsburg,D2,
California (PA),D2,
Colorado State-Pueblo,D2,
East Central (OK),D2,
Ferris St.,D2,
Findlay,D2,
Fort Hays St.,D2,
Grand Valley St.,D2,
Humboldt St.,D2,now called Cal Poly Humboldt
Kentucky Wesleyan,D2,
Kutztown (PA),D2,
Lenoir-Rhyne,D2,
Lindenwood,D2,FCS as of 2022
Malone,D2,
Mars Hill,D2,
Midwestern St.,D2,
Minnesota St.,D2,
Missouri S&T,D2,
Missouri Southern,D2,
Missouri Western St.,D2,
Pittsburg St.,D2,
Saginaw Valley St.,D2,
Sioux Falls,D2,
Valdosta St.,D2,
Virginia St.,D2,
Wayne State (MI),D2,
West Alabama,D2,
West Georgia,D2,
Western Oregon,D2,
